manufacturer,model,engine,transmission,drivetrain,fuel_type
Acura,ILX w/Technology Plus Pkg,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Technology Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
Acura,ILX 2.0L w/Premium Package,"2L I-4 i-VTEC variable valve control, engine with 150HP",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,2.0L I4 16V MPFI SOHC,5-Speed Automatic with SportShift,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,"2L I-4 i-VTEC variable valve control, engine with 150HP",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Special Edition,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus & A-SPEC Packages,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Premium Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L,"2L I-4 i-VTEC variable valve control, engine with 150HP",Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX w/Premium/A-Spec Package,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Premium & A-SPEC Packages,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
Acura,ILX 4DR SDN,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus Package,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology & A-Spec Packages,2.4L,,Front-wheel Drive,Gasoline
Acura,ILX,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Premium Package,2.4L I4 16V GDI DOHC,8-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L,2.0L I4 16V MPFI SOHC,5-Speed Automatic,FWD,Gasoline
Acura,ILX 2.0L w/Premium Package,2.0L I4 16V MPFI SOHC,5-Speed Automatic with SportShift,Front-wheel Drive,Gasoline
Acura,ILX Base,2.4L,Automatic,Front-wheel Drive,Gasoline
Acura,ILX TECHNOLOGY&A-SPEC PKGS,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX w/Technology Plus Pkg,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX A-SPEC/PREMIUM PKG/POWER&HEATED SEATS/SUNROOF/ADAP,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX w/Premium Package,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L w/AcuraWatch Plus Pkg,2.4L,Automatic,Front-wheel Drive,Premium
Acura,ILX Base (A8),2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX W/NAVIGATION SYSTEM&POWER SUNROOF,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Premium & A-SPEC Packages,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed Dual-Clutch,Front-wheel Drive,Gasoline
Acura,ILX Technology & A-Spec,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,2.0L I4 16V MPFI SOHC,5-Speed Automatic,FWD,Gasoline
Acura,ILX w/AcuraWatch Plus,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Technology Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX AcuraWatch Plus Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
Acura,ILX W/ REARCAM,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX AcuraWatch Plus Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX 2.0L,2.0L,5-SPEED A/T,Front-wheel Drive,Gasoline
Acura,ILX Technology & A-Spec Packages,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed Dual-Clutch,Front-wheel Drive,Gasoline
Acura,ILX WATCH,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Base (DCT),Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,2.0L I4 16V MPFI SOHC,Automatic,FWD,Gasoline
Acura,ILX w/Premium/A-Spec Pkg,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus & A-SPEC Packages,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L (A8),2.4L I4 16V GDI DOHC,OTHER,Front-wheel Drive,Gasoline
Acura,ILX w/Premium/A-SPEC Pkg,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Base,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
Acura,ILX Base (DCT),2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX 2.4L Premium,2.4L I4 16V MPFI DOHC,6-Speed Manual,Front-wheel Drive,Gasoline
Acura,ILX 2.4L,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L w/Premium Package,2.0L I4 16V MPFI SOHC,,Front-wheel Drive,Gasoline
Acura,ILX 2.0L w/Premium Package,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Front-wheel Drive,Gasoline
Acura,ILX Premium & A-SPEC Packages,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Front-wheel Drive,Gasoline
Acura,ILX 8-SPD,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Premium & A-SPEC Packages,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Front-wheel Drive,Gasoline
Acura,ILX PRM SPEC,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Base,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed Dual-Clutch,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus Package,2.4L I4 16V GDI DOHC,8-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX,Engine: 2.0L SOHC I-4 i-VTEC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Base,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve","Automatic, 8-Spd DCT w/Sequential SportShift",Front-wheel Drive,Gasoline
Acura,ILX Premium Package,2.4L,AUTOMATIC,Front-wheel Drive,Gasoline
Acura,ILX 2.0L,2.0L I4 16V MPFI SOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX w/Premium Pkg,2.4L I4 16V GDI DOHC,DCT Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus Package,2.4L I4 16V GDI DOHC,8-Speed Automatic,FWD,Gasoline
Acura,ILX w/Technology Plus Pkg,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L,Premium Unleaded I-4 2.0 L/122,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L w/AcuraWatch Plus Pkg,2.4L I4 16V GDI DOHC,8-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L w/AcuraWatch Plus Pkg,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,2.0L,5-SPEED A/T,Front-wheel Drive,Gasoline
Acura,ILX Premium & A-SPEC Packages,2.4L I4 16V GDI DOHC,8-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX AcuraWatch Plus Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed Double Clutch,Front-wheel Drive,Gasoline
Acura,ILX Base,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Front-wheel Drive,Gasoline
Acura,ILX w/Technology Plus Pkg,Engine: 2.4L 16-Valve DOHC i-VTEC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology & A-Spec Pkgs,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L w/AcuraWatch Plus Pkg,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed,Front-wheel Drive,Gasoline
Acura,ILX,,5 Speed Automatic,,
Acura,ILX 2.4L,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
Acura,ILX Premium Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",8-Speed Dual-Clutch,Front-wheel Drive,Gasoline
Acura,ILX Technology Plus Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,"2L I-4 i-VTEC variable valve control, engine with 150HP",5-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX w/Technology/A-Spec Pkg,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,RSX Base,"2L I-4 DOHC, VTEC-E Lean Burn variable valve control, engine wit",Manual,Front-wheel Drive,Gasoline
Acura,RSX,2.0L I4 16V MPFI DOHC,5-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RSX,2.0L I4 16V MPFI DOHC,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,RSX Leather,2.0L I4 16V MPFI DOHC,5-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RSX Base (A5),2.0L I4 16V MPFI DOHC,5-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RSX Base,"2L I-4 DOHC, variable valve control, engine with 160HP",Automatic,Front-wheel Drive,Gasoline
Acura,RSX Base,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Front-wheel Drive,Gasoline
Acura,RSX Base (M5),2.0L DOHC PGM-FI 16 valve i-VTEC 4-cyl engine,Manual,Front-wheel Drive,Gasoline
Acura,RSX Base,"2L I-4 DOHC, VTEC-E Lean Burn variable valve control, engine wit",Automatic,Front-wheel Drive,Gasoline
Acura,RSX Type S,2.0L I4 16V MPFI DOHC,6-Speed Manual,Front-wheel Drive,Gasoline
Acura,RSX Base,"2L I-4 DOHC, variable valve control, engine with 155HP",Manual,Front-wheel Drive,Gasoline
Acura,RSX Type S,2.0L I4 16V MPFI DOHC,6-Speed Manual,FWD,Gasoline
Acura,RSX Base,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Front-wheel Drive,Gasoline
Acura,Legend L,3.2L V6 24V SPFI OHV,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,Legend LS,3.2L V6 24V SOHC,4-Speed Automatic,Front-wheel Drive,Gasoline
Acura,Legend L,2.7L V6 24V SOHC,Manual,Front-wheel Drive,Gasoline
Acura,Legend LS,2.7L V6 24V SOHC,4-Speed Automatic,Front-wheel Drive,Gasoline
Acura,Legend L,2.7L V6 24V SOHC,Automatic,Front-wheel Drive,Gasoline
Acura,Legend LS,3.2L V6 24V SPFI SOHC,4-Speed Automatic,FWD,Gasoline
Acura,Legend L,3.2L V6 24V SPFI SOHC,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,Legend GS,3.2L V6 24V SPFI OHV,6-Speed Manual,Front-wheel Drive,Gasoline
Acura,MDX Sport Hybrid 3.0L w/Advance Package,3.0L V6 24V MPFI SOHC Hybrid,7-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid
Acura,MDX Sport Hybrid,,7 Speed,,
Acura,MDX Sport Hybrid 3.0L w/Technology Package,3.0L V6 24V MPFI SOHC Hybrid,7-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid
Acura,MDX Sport Hybrid Technology Package,"3L V-6 i-VTEC variable valve control, engine with cylinder deact",Automatic,All-wheel Drive,Gasoline
Acura,MDX Sport Hybrid Advance Package,Gas/Electric V-6 3.0 L/183,Automatic,All-wheel Drive,Hybrid
Acura,MDX Sport Hybrid 3.5L w/Advance Package,Gas/Electric V-6 3.0 L/212,Automatic,All-wheel Drive,Hybrid
Acura,MDX Sport Hybrid 3.0L w/Advance Package,3.0L V6 24V MPFI SOHC Hybrid,7-Speed Automatic with Auto-Shift,AWD,Hybrid
Acura,MDX Sport Hybrid 3.5L w/Advance Package,Gas/Electric V-6 3.0 L/183,Automatic,All-wheel Drive,Hybrid
Acura,RLX Sport Hybrid Technology Package,3.5L V6 24V GDI SOHC Hybrid,7-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid
Acura,RLX Sport Hybrid Advance Package,3.5L V6 24V GDI SOHC Hybrid,7-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid
Acura,RLX Sport Hybrid,,7 Speed,,
Acura,RLX Sport Hybrid Advance Package,3.5L V6 24V GDI SOHC Hybrid,7-Speed Automatic,All-wheel Drive,Hybrid
Acura,RLX Sport Hybrid Advance Package,3.5L V6 24V GDI SOHC Hybrid,7-Speed DCT Automatic,All-wheel Drive,Hybrid
Acura,RLX Sport Hybrid Advance Package,3.5L V6 24V GDI SOHC Hybrid,Automatic,All-wheel Drive,Hybrid
Acura,RLX Sport Hybrid Advance Package,3.5L V6 24V GDI SOHC Hybrid,7-Speed Automatic with Auto-Shift,AWD,Hybrid
Acura,Integra A-Spec,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Front-wheel Drive,Gasoline
Acura,Integra A-Spec Technology,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Front-wheel Drive,Gasoline
Acura,Integra,,6 Speed Manual,,
Acura,Integra A-Spec Technology,1.5L I4 16V GDI DOHC Turbo,6-Speed Manual,Front-wheel Drive,Gasoline
Acura,Integra A-Spec w/ Technology,"1.5L I-4 gasoline direct injection, DOHC, VTEC variable valve co",Manual,Front-wheel Drive,Gasoline
Acura,Integra w/A-Spec Tech Package,1.5L I4 16V GDI DOHC Turbo,6-Speed Manual,Front-wheel Drive,Gasoline
Acura,Integra Special Edition,1.8L I4 16V MPFI DOHC,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,Integra,,Continuously Variable Transmission,,
Acura,Integra w/A-Spec Package,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Front-wheel Drive,Gasoline
Acura,Integra w/A-Spec Tech Package,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Front-wheel Drive,Gasoline
Acura,Integra Base,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Front-wheel Drive,Gasoline
Acura,Integra w/A-Spec Tech Package,Intercooled Turbo Premium Unleaded I-4 1.5 L/91,Variable,Front-wheel Drive,Gasoline
Acura,Integra w/A-Spec Package,Intercooled Turbo Premium Unleaded I-4 1.5 L/91,Variable,Front-wheel Drive,Gasoline
Acura,Integra RS,,4-Speed A/T,Rear-wheel Drive,
Acura,Integra LS,1.8L I4 16V SPFI SOHC,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,Integra LS,1.8L I4 16V MPFI DOHC,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,Integra A-Spec,"1.5L I-4 gasoline direct injection, DOHC, VTEC variable valve co",Automatic,Front-wheel Drive,Gasoline
Acura,Integra TYPE R,1.8L I4 16V MPFI DOHC,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,Integra GS,1.8L I4 16V SPFI SOHC,5-Speed Manual,Front-wheel Drive,Gasoline
Acura,Integra w/A-Spec Tech Package,Engine: 1.5L I-4 16-Valve DOHC VTEC w/Turbocharger -inc: direct,Manual,Front-wheel Drive,Gasoline
Acura,Integra GS-R,"1.8L I-4 DOHC, variable valve control, engine with 170HP",Manual,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,3.5L V6 24V GDI SOHC,6-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX Advance Package,3.5L V6 24V GDI SOHC,6-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX Advance Package,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,3.5L V6 24V GDI SOHC,10-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX Navigation,3.5L V6 24V GDI SOHC,Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,3.5L V6 24V GDI SOHC,6-Speed Automatic with SportShift,Front-wheel Drive,Gasoline
Acura,RLX Advance Package,3.5L V6 24V GDI SOHC,Automatic,Front-wheel Drive,Gasoline
Acura,RLX FWD w/Technology Package,3.5L V6 24V GDI SOHC,10-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX Base,3.5L V6 24V GDI SOHC,6-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX FWD w/Technology Package,3.5L V6 24V GDI SOHC,10-Speed Automatic,FWD,Gasoline
Acura,RLX Technology Package,3.5L V6 24V GDI SOHC,10-Speed Automatic,FWD,Gasoline
Acura,RLX Advance Package,Premium Unleaded V-6 3.5 L/212,Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,3.5L V6 24V GDI SOHC,Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",6-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,3.5L,Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Front-wheel Drive,Gasoline
Acura,RLX,,10 Speed Automatic,,
Acura,RLX Advance Package,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",6-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,3.5L,6-Speed Automatic,Front-wheel Drive,Gasoline
Acura,RLX w/Technology Pkg,Premium Unleaded V-6 3.5 L/212,Automatic,Front-wheel Drive,Gasoline
Acura,RLX Technology Package,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",Automatic,Front-wheel Drive,Gasoline
